timestamp,mac,seq_ctrl,aoa,master_rssi,worker_rssi,IQ_master,IQ_worker
37515770,7E:8A:AE:D6:C8:CD,57104,90.00,-75,-73,0 0 2 -6 0 0 2 3 2 6 5 7 6 10 8 10 8 11 9 10 11 8 12 6 12 3 12 2 11 0 9 -2 5 -4 5 -6 2 -4 1 -5 -2 -3 -4 -2 -6 0 -8 1 -9 2 -8 3 -8 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -7 8 -10 8 -14 9 -17 8 -19 8 -20 9 -21 8 -19 7 -19 6 -17 4 -14 1 -11 -1 -8 -4 -4 -5 -2 -8 0 -11 1 -14 2 -17 3 -18 4 -21 4 -21 2 -21 2 -19 1 -19 0 -17 0 -14,0 0 2 15 3 16 4 14 4 11 4 10 3 7 3 5 0 5 -2 4 -4 4 -6 6 -8 8 -9 10 -9 12 -7 13 -6 15 -6 16 -4 17 -3 17 -3 15 -1 13 -1 11 -2 9 -2 7 -3 5 -5 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 2 11 4 10 7 8 9 8 11 8 14 9 15 9 17 9 19 9 18 9 17 9 16 8 14 8 12 6 10 6 9 4 8 1 8 -1 8 -3 9 -4 10 -5 12 -4 14 -5 16 -4 17 -4 18
37544650,7E:8A:AE:D6:C8:CD,57104,-19.21,-75,-74,0 0 1 -4 1 0 2 3 3 5 6 6 7 8 9 9 10 9 11 8 11 5 12 3 12 1 12 -1 11 -2 8 -4 6 -4 5 -6 2 -6 0 -4 -2 -3 -4 -1 -6 0 -7 2 -8 4 -8 5 -8 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -5 8 -8 10 -11 11 -14 12 -15 11 -17 11 -17 10 -18 10 -17 9 -16 7 -13 4 -11 1 -8 -2 -5 -5 -3 -8 -1 -11 -2 -14 0 -16 1 -18 1 -21 1 -21 -1 -20 -1 -19 -3 -19 -1 -17 -1 -14,0 0 -15 -2 -16 1 -14 2 -13 3 -10 3 -8 2 -6 1 -5 -1 -6 -1 -5 -5 -6 -6 -7 -7 -8 -9 -11 -11 -11 -9 -14 -7 -15 -7 -15 -7 -16 -7 -15 -6 -13 -4 -11 -3 -9 -2 -7 -2 -5 -3 -3 -4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -2 11 -5 10 -7 8 -10 9 -11 7 -13 7 -16 8 -19 7 -19 7 -17 8 -18 9 -17 9 -16 8 -13 7 -11 5 -11 5 -9 3 -8 1 -8 -3 -8 -4 -11 -5 -11 -5 -13 -6 -15 -2 -18 -5 -19 -4
38091530,7E:8A:AE:D6:C8:CD,45040,90.00,-68,-75,0 0 13 -12 10 -12 10 -11 10 -11 9 -10 10 -10 9 -9 9 -8 10 -8 10 -9 10 -9 10 -10 11 -10 10 -11 10 -11 9 -12 8 -12 8 -11 8 -11 7 -11 7 -9 7 -8 8 -7 8 -6 9 -6 10 -5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 -10 7 -10 8 -10 8 -9 9 -10 9 -10 10 -10 11 -9 11 -10 10 -10 11 -10 10 -10 11 -10 10 -10 10 -10 10 -9 10 -9 10 -9 10 -8 11 -9 11 -10 11 -10 12 -10 12 -11 12 -12 12 -14,0 0 11 7 5 4 1 7 -2 7 -4 8 -6 10 -6 11 -8 13 -7 15 -5 17 -5 18 -3 17 -1 15 1 13 0 11 1 9 0 5 1 2 -2 0 -3 -4 -5 -5 -7 -6 -10 -6 -11 -7 -11 -5 -12 -4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 -11 8 -11 9 -13 11 -13 12 -12 13 -13 14 -13 14 -13 14 -12 12 -11 11 -9 11 -8 10 -5 9 -3 9 1 9 4 10 6 11 9 12 9 13 11 16 12 16 10 17 9 17 9 17 9 16 5
38535311,7E:8A:AE:D6:C8:CD,45056,-27.08,-72,-74,0 0 -16 5 -18 8 -16 10 -15 9 -12 8 -9 7 -7 5 -5 3 -4 2 -4 -2 -5 -5 -6 -8 -7 -9 -9 -11 -10 -11 -13 -11 -15 -11 -16 -11 -16 -10 -15 -9 -14 -8 -12 -6 -10 -5 -7 -4 -4 -5 -2 -4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 5 9 6 7 7 4 8 1 11 -2 12 -3 14 -5 16 -5 18 -7 18 -6 19 -5 19 -4 18 -3 16 -2 15 -1 13 -2 10 -2 8 -4 5 -5 3 -6 2 -10 2 -11 0 -14 0 -18 1 -19 2,0 0 -2 -10 -2 -12 2 -13 3 -14 4 -14 4 -16 2 -16 1 -19 0 -19 -1 -17 -1 -19 -2 -16 -4 -14 -3 -12 -2 -10 -1 -10 2 -9 4 -9 6 -8 9 -9 10 -8 10 -9 11 -11 10 -12 9 -12 8 -11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -12 -9 -12 -10 -13 -10 -13 -11 -12 -11 -11 -10 -11 -9 -10 -11 -9 -10 -6 -10 -4 -9 -3 -10 -3 -11 -3 -12 -2 -13 -3 -15 -2 -16 -4 -16 -5 -16 -7 -15 -8 -16 -8 -15 -8 -14 -8 -13 -6 -12 -5 -9
46629491,7E:8A:AE:D6:C8:CD,45760,-10.54,-71,-74,0 0 -12 -9 -11 -8 -8 -8 -7 -8 -5 -8 -3 -10 -2 -10 -1 -12 -2 -13 -3 -14 -4 -14 -6 -14 -8 -13 -8 -12 -8 -10 -8 -9 -7 -7 -6 -6 -5 -5 -4 -5 -2 -6 -1 -6 0 -7 1 -8 0 -8 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -13 -2 -13 -4 -13 -6 -14 -8 -15 -9 -16 -11 -17 -12 -18 -11 -18 -12 -18 -10 -17 -9 -16 -9 -15 -8 -12 -8 -10 -8 -9 -9 -8 -10 -7 -12 -7 -13 -9 -15 -9 -16 -11 -16 -11 -16 -13 -15 -14 -15 -14 -13,0 0 -17 -3 -14 -2 -14 -2 -12 -2 -10 -4 -9 -6 -9 -7 -9 -8 -10 -8 -12 -9 -12 -10 -13 -9 -14 -8 -15 -7 -14 -6 -13 -5 -12 -4 -10 -4 -10 -3 -9 -5 -7 -6 -6 -7 -5 -7 -5 -7 -6 -8 -7 -10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -10 4 -11 2 -12 -1 -15 -1 -15 -1 -18 -1 -20 -1 -21 -2 -21 -1 -20 0 -19 1 -17 1 -16 2 -14 2 -13 0 -13 -1 -12 -3 -12 -5 -12 -7 -14 -9 -15 -9 -17 -8 -18 -7 -19 -6 -21 -6 -20 -4
46689002,7E:8A:AE:D6:C8:CD,45776,-7.59,-72,-74,0 0 -3 -14 -3 -13 -3 -12 -1 -12 0 -10 1 -11 1 -11 3 -12 2 -13 2 -15 0 -14 -1 -14 -2 -14 -3 -14 -4 -12 -4 -9 -3 -9 -3 -9 -3 -8 -1 -7 -1 -7 -1 -6 1 -9 1 -7 1 -8 0 -8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -6 -11 -5 -12 -4 -14 -3 -15 -2 -15 -3 -18 -3 -18 -3 -21 -2 -19 -3 -19 -4 -19 -4 -17 -3 -16 -2 -14 -2 -12 -1 -13 0 -13 1 -14 2 -15 3 -16 2 -17 1 -18 1 -18 -1 -19 -1 -18 -2 -17,0 0 -8 -14 -8 -11 -6 -10 -5 -11 -3 -11 -1 -13 -2 -12 0 -12 -1 -15 -2 -16 -1 -18 -3 -16 -4 -14 -4 -15 -6 -14 -6 -11 -5 -11 -6 -9 -3 -11 -2 -10 0 -9 3 -8 5 -9 2 -9 3 -10 3 -11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -11 -5 -9 -6 -10 -10 -10 -11 -12 -13 -13 -14 -15 -14 -15 -14 -14 -14 -15 -15 -12 -11 -15 -11 -11 -10 -9 -10 -8 -10 -6 -10 -5 -11 -4 -13 -5 -15 -5 -16 -5 -18 -6 -17 -7 -17 -9 -19 -10 -20 -10 -14
46736458,7E:8A:AE:D6:C8:CD,45792,-5.85,-77,-76,0 0 1 12 2 11 1 10 1 11 -1 11 -2 12 -1 11 -1 12 -1 12 2 12 2 11 4 11 4 10 4 9 3 8 2 7 1 7 1 7 1 6 1 6 -1 6 0 8 0 7 0 7 0 7 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 7 7 10 5 12 5 14 6 14 6 16 6 16 6 18 6 17 7 16 6 15 5 16 3 14 3 13 3 12 0 13 1 13 0 14 2 16 2 17 2 17 1 17 3 15 3 16 5 15 5 14,0 0 6 8 7 9 6 7 5 9 4 9 1 11 0 12 0 12 2 14 2 14 4 16 5 15 6 14 7 14 5 13 4 10 6 8 4 8 3 9 2 9 0 10 -2 8 -3 9 -2 10 -2 10 -2 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 4 8 6 7 8 9 8 9 10 10 10 12 12 14 11 13 12 13 9 12 8 10 8 9 8 7 7 5 7 4 8 3 9 4 12 4 12 4 15 5 16 6 16 8 14 10 13 10 14 9 14
46796315,7E:8A:AE:D6:C8:CD,45808,25.40,-76,-78,0 0 -11 13 -10 12 -9 11 -8 11 -8 11 -9 10 -9 9 -8 10 -9 9 -8 10 -9 9 -7 11 -7 10 -8 11 -7 12 -7 10 -7 11 -6 10 -6 9 -6 9 -6 8 -5 6 -6 7 -6 5 -7 5 -7 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -2 7 -4 10 -5 9 -6 9 -6 10 -6 11 -8 13 -7 14 -8 13 -8 13 -8 13 -8 13 -7 13 -8 12 -8 11 -9 11 -8 11 -9 10 -9 11 -10 12 -10 14 -11 13 -10 12 -9 11 -10 14 -9 16,0 0 -11 -3 -11 -4 -9 -2 -9 -4 -8 -5 -8 -7 -8 -7 -10 -9 -10 -9 -12 -9 -14 -8 -16 -8 -16 -7 -15 -6 -15 -5 -13 -4 -11 -4 -11 -3 -9 -5 -9 -4 -9 -6 -7 -6 -6 -9 -5 -9 -6 -8 -6 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -11 0 -13 0 -15 -1 -15 -2 -16 -2 -16 -1 -18 -2 -18 1 -17 0 -17 0 -15 -1 -14 -2 -13 -1 -11 -4 -10 -4 -9 -6 -10 -6 -11 -8 -14 -7 -16 -8 -15 -8 -15 -7 -15 -6 -16 -4 -16 -4 -16 -4
46891959,7E:8A:AE:D6:C8:CD,45824,90.00,-79,-77,0 0 1 10 -3 8 -2 9 -2 10 -1 11 1 11 1 11 2 9 3 10 5 8 5 8 5 5 3 4 3 3 1 3 0 4 -1 4 -2 4 -1 5 -1 5 0 7 1 6 1 6 3 5 4 4 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 9 8 10 8 11 7 13 7 14 9 14 9 15 8 15 7 16 6 15 4 14 4 13 2 13 2 12 0 12 1 14 0 14 1 14 2 15 4 15 3 16 3 15 4 12 2 11 3 10 3 10,0 0 -11 -7 -13 -3 -12 -4 -12 -6 -11 -5 -10 -6 -8 -7 -10 -8 -12 -8 -12 -9 -14 -8 -14 -8 -14 -8 -13 -6 -13 -5 -13 -5 -14 -5 -13 -5 -12 -5 -10 -6 -10 -6 -9 -7 -8 -8 -7 -8 -8 -8 -8 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -12 0 -14 -3 -14 -3 -16 -4 -16 -4 -18 -4 -19 -4 -19 -4 -18 -5 -16 -4 -16 -4 -13 -3 -13 -4 -11 -4 -10 -5 -10 -5 -11 -7 -11 -8 -12 -10 -13 -9 -13 -10 -14 -10 -15 -8 -16 -8 -18 -7 -17 -7
46928150,7E:8A:AE:D6:C8:CD,45840,-17.13,-77,-75,0 0 11 6 7 6 9 6 9 7 10 6 10 6 9 6 10 6 11 4 10 2 11 2 9 1 9 -1 7 0 6 0 5 0 5 1 5 2 5 2 5 2 7 3 7 2 8 1 6 2 6 1 6 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 1 15 1 16 3 16 4 17 4 18 5 19 5 18 4 19 5 16 5 15 7 14 7 14 7 13 6 12 7 13 8 12 8 14 8 14 7 16 7 16 7 16 6 16 5 14 3 14 3 13 4,0 0 11 -7 9 -9 9 -7 9 -7 10 -6 10 -5 10 -5 11 -5 10 -6 12 -8 11 -7 12 -7 10 -8 9 -8 9 -9 8 -10 9 -9 9 -10 9 -8 9 -8 9 -7 9 -7 9 -4 8 -4 9 -4 9 -3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 -8 9 -8 10 -8 12 -8 12 -8 13 -8 14 -10 14 -10 14 -9 12 -8 12 -8 11 -8 11 -7 10 -6 10 -5 11 -4 11 -5 12 -5 12 -5 14 -5 15 -6 14 -7 14 -8 14 -9 14 -10 12 -9
