timestamp,mac,seq_ctrl,aoa,master_rssi,worker_rssi,IQ_master,IQ_worker
10323149,7E:8A:AE:D6:C8:CD,34848,-48.25,-65,-72,0 0 8 15 8 13 6 10 4 6 1 3 -1 0 -3 -1 -6 -1 -11 -1 -14 0 -17 -1 -19 -1 -18 1 -19 3 -18 5 -18 6 -17 6 -15 5 -11 4 -8 3 -5 1 -3 -1 -1 -3 1 -5 4 -7 5 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -2 -6 2 -8 6 -9 10 -10 13 -11 16 -11 17 -11 18 -12 18 -12 17 -12 16 -12 15 -11 13 -10 10 -6 7 -4 5 0 2 2 2 5 1 8 2 13 2 16 3 19 3 20 3 20 5 20 7 18,0 0 -21 0 -21 -3 -18 -2 -13 -1 -12 0 -10 0 -5 -1 2 -1 7 0 11 3 14 6 14 6 15 5 20 6 20 8 20 9 19 10 17 9 14 7 13 6 10 5 7 3 4 2 2 -1 -1 -4 -3 -8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -2 2 0 1 3 -1 6 -2 8 -1 10 -2 11 -2 13 -4 14 -5 16 -5 16 -4 15 -3 12 -3 10 -5 9 -6 8 -6 6 -4 3 -3 -2 -2 -6 -3 -9 -3 -11 -4 -11 -1 -13 0 -18 2 -21 0
10353080,7E:8A:AE:D6:C8:CD,34848,-90.00,-65,-73,0 0 1 -17 0 -17 0 -13 0 -8 -1 -5 0 -1 1 1 4 3 8 5 12 6 14 8 15 9 15 8 17 6 17 5 17 3 17 3 14 3 11 2 9 1 5 1 1 1 -1 2 -4 2 -7 3 -10 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -4 5 -7 4 -11 3 -14 1 -18 -1 -19 -2 -22 -3 -23 -3 -23 -2 -22 -2 -21 -1 -20 -1 -17 -2 -13 -2 -9 -3 -4 -4 -1 -5 1 -7 2 -9 5 -13 7 -16 9 -19 8 -19 7 -19 6 -20 4 -20,0 0 -21 10 -19 9 -16 6 -12 6 -10 7 -10 4 -6 1 0 -1 8 -2 12 -1 15 1 15 0 18 0 21 -1 24 2 22 3 22 5 19 5 16 3 13 3 12 2 10 1 5 0 1 -1 -1 -3 -5 -8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 1 0 2 -4 3 -6 3 -8 4 -9 4 -12 4 -14 5 -14 7 -16 9 -13 7 -14 7 -13 5 -11 2 -11 2 -11 2 -8 0 -5 -2 -3 -5 1 -8 4 -10 4 -11 5 -9 8 -15 11 -15 14
10391946,7E:8A:AE:D6:C8:CD,34848,-1.18,-65,-73,0 0 -15 6 -14 7 -11 5 -8 3 -4 1 -2 -1 0 -3 0 -6 0 -10 0 -14 0 -17 0 -18 -1 -18 -3 -19 -5 -18 -6 -17 -6 -17 -6 -15 -4 -12 -4 -8 -2 -6 0 -3 2 0 4 1 6 3 7 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 -1 6 3 7 7 8 11 7 14 8 17 8 19 8 19 9 19 9 18 9 18 8 16 6 14 4 11 1 7 -1 5 -4 2 -6 1 -9 1 -14 1 -18 1 -20 1 -21 1 -22 1 -21 2 -20 5,0 0 -16 -16 -15 -16 -12 -13 -11 -10 -9 -9 -8 -7 -2 -5 2 0 3 7 4 12 5 14 5 14 7 16 8 20 7 22 5 23 4 21 4 19 3 17 3 15 2 12 2 8 1 5 1 0 2 -4 4 -7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -5 2 -1 1 3 2 5 2 8 3 9 3 11 4 12 4 16 5 15 5 15 7 14 6 12 5 11 2 10 1 10 0 7 0 3 0 0 -2 -3 -5 -5 -7 -7 -9 -9 -10 -11 -9 -15 -10 -18 -13
10430210,7E:8A:AE:D6:C8:CD,34848,-29.57,-65,-73,0 0 0 14 0 16 0 12 0 7 -1 3 -1 0 -3 -2 -5 -4 -9 -5 -13 -7 -15 -9 -16 -9 -16 -8 -18 -6 -18 -4 -18 -3 -17 -3 -15 -2 -12 -2 -8 -1 -5 -1 -3 -1 0 -2 3 -3 5 -4 8 -6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 -6 6 -4 9 -3 14 -1 16 1 18 2 19 2 21 2 21 2 20 0 19 1 18 1 15 1 11 1 7 2 4 3 0 3 -2 5 -4 8 -6 11 -7 15 -9 18 -9 18 -10 18 -8 18 -6 18,0 0 -7 -20 -6 -22 -4 -17 -5 -13 -5 -11 -4 -10 0 -5 1 1 0 8 -1 13 -4 15 -4 14 -2 18 -3 22 -4 23 -6 23 -7 21 -6 18 -5 16 -4 14 -4 13 -3 9 -2 5 -1 2 3 -2 6 -5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -5 -1 -2 0 2 3 3 5 6 7 5 7 7 9 9 10 11 11 10 12 10 13 9 12 9 10 8 8 9 5 8 7 5 3 4 1 1 -2 -1 -7 -3 -10 -2 -10 -3 -12 -7 -14 -8 -15 -9 -19
10469318,7E:8A:AE:D6:C8:CD,34848,-40.28,-65,-73,0 0 10 -11 9 -13 7 -10 5 -5 2 -3 1 0 0 2 1 5 3 8 3 13 5 15 5 16 6 15 8 15 10 14 10 13 10 13 9 11 7 9 5 6 3 4 0 2 -2 0 -5 -2 -8 -3 -10 -4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -6 3 -8 0 -10 -3 -12 -7 -14 -10 -15 -12 -16 -14 -17 -14 -18 -14 -17 -13 -16 -13 -15 -12 -13 -10 -9 -8 -6 -6 -2 -5 1 -4 4 -4 7 -5 11 -7 14 -8 17 -9 17 -9 16 -9 17 -11 16 -12,0 0 -1 22 -3 20 -3 16 -1 13 -2 12 -2 9 -3 4 -1 -2 1 -7 5 -12 8 -14 8 -14 8 -18 8 -21 10 -21 12 -21 13 -19 12 -16 8 -14 8 -14 5 -11 4 -8 2 -6 0 -2 -5 0 -8 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 -1 -1 -5 -1 -7 -2 -9 -3 -10 -3 -12 -4 -14 -4 -16 -5 -17 -4 -18 -3 -16 -4 -14 -4 -11 -6 -9 -5 -10 -4 -6 -3 -4 -1 0 -2 5 -2 8 -4 9 -2 11 -2 12 1 17 1 21
10509540,7E:8A:AE:D6:C8:CD,34848,11.40,-65,-73,0 0 14 -3 16 -4 11 -3 7 -2 4 -1 0 0 -1 2 -2 5 -4 9 -5 13 -6 15 -6 16 -5 16 -3 18 -1 18 0 17 0 17 0 14 1 11 0 8 0 5 -1 2 -2 -1 -4 -4 -5 -6 -7 -8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -6 -2 -6 -6 -5 -10 -4 -14 -3 -17 -3 -20 -2 -21 -3 -22 -3 -23 -4 -21 -3 -21 -3 -19 -2 -17 -2 -12 0 -9 1 -6 3 -2 5 0 8 1 13 2 16 3 19 4 18 4 18 5 20 3 20 1,0 0 -2 21 -4 19 -3 16 -2 12 0 11 -2 9 -3 3 -1 -2 1 -8 5 -12 6 -14 7 -15 7 -17 8 -20 8 -22 11 -21 12 -19 10 -16 8 -15 7 -13 6 -12 4 -8 2 -6 -1 -3 -4 0 -8 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 -1 -1 -4 -1 -7 -1 -9 -2 -10 -3 -13 -4 -14 -4 -16 -4 -16 -3 -16 -2 -15 -3 -13 -4 -11 -5 -9 -5 -10 -4 -7 -3 -4 -2 0 -2 3 -3 8 -3 9 -3 11 0 13 1 17 0 20
10548811,7E:8A:AE:D6:C8:CD,34848,-35.26,-65,-73,0 0 14 9 13 7 10 5 6 3 3 1 0 1 -3 1 -6 2 -9 4 -12 6 -15 8 -16 8 -15 9 -14 11 -12 12 -12 13 -11 13 -10 11 -8 8 -6 6 -4 3 -3 1 -2 -2 -1 -5 0 -8 0 -10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -5 -5 -2 -8 1 -11 4 -14 7 -15 9 -17 10 -18 10 -19 11 -20 9 -19 9 -18 8 -17 8 -14 6 -11 5 -7 4 -3 4 0 4 4 6 6 8 10 10 13 12 15 12 16 12 15 14 15 15 12,0 0 -22 -3 -21 -5 -17 -5 -15 -2 -12 -1 -11 -2 -5 -3 2 -2 7 1 10 4 12 8 14 8 17 7 20 8 21 11 19 13 18 13 16 12 14 10 13 8 10 7 7 5 4 3 2 0 -1 -5 -2 -8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -3 3 -1 1 3 0 5 0 8 0 10 -2 12 -2 14 -2 16 -3 16 -3 16 -2 15 -1 13 -3 11 -3 11 -5 9 -5 7 -3 4 -3 -1 -2 -5 -3 -8 -4 -11 -4 -13 -3 -15 -3 -18 0 -22 -1
10588004,7E:8A:AE:D6:C8:CD,34848,-21.20,-65,-73,0 0 -11 -11 -13 -11 -9 -8 -6 -6 -3 -4 -1 -2 2 -1 5 -2 9 -3 12 -4 15 -5 17 -5 16 -6 16 -8 14 -10 14 -11 13 -11 11 -9 8 -7 6 -6 4 -3 2 -1 0 2 -2 4 -3 6 -4 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 5 0 7 -4 9 -7 12 -11 13 -13 13 -15 14 -15 15 -15 16 -14 15 -13 15 -13 14 -11 11 -9 8 -7 4 -5 1 -4 -2 -4 -5 -4 -8 -6 -12 -7 -15 -9 -19 -9 -19 -10 -18 -10 -18 -12 -17,0 0 -12 -20 -10 -18 -8 -16 -9 -14 -7 -10 -4 -10 -2 -5 1 0 2 8 1 13 0 14 1 16 2 17 3 21 2 22 0 23 -2 21 -2 20 -2 18 -1 14 -2 12 0 9 -1 5 0 1 3 -4 4 -7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -5 1 -1 0 1 1 4 3 5 4 7 5 9 5 11 7 13 8 12 8 13 10 12 9 11 8 10 5 9 3 9 3 7 3 5 1 1 -1 -2 -5 -4 -8 -4 -9 -6 -11 -11 -12 -12 -15 -15 -16
10629400,7E:8A:AE:D6:C8:CD,34848,-90.00,-65,-73,0 0 14 7 14 6 10 5 7 2 3 1 0 0 -3 0 -5 3 -9 5 -12 7 -14 8 -15 9 -14 9 -14 12 -12 13 -11 13 -11 13 -9 11 -7 9 -5 6 -4 4 -2 0 -2 -2 -1 -5 0 -8 0 -10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -5 -4 -3 -7 -1 -11 1 -14 4 -17 6 -18 7 -19 7 -21 7 -21 7 -20 6 -19 6 -18 6 -15 4 -11 4 -7 4 -4 3 0 4 3 6 5 9 8 11 11 13 13 13 14 14 14 15 13 16 11,0 0 21 3 20 6 16 5 14 2 12 2 10 2 4 2 -3 1 -8 -3 -11 -7 -13 -10 -13 -10 -16 -10 -20 -12 -21 -14 -20 -15 -17 -15 -15 -14 -14 -11 -14 -10 -11 -9 -7 -5 -5 -4 -2 0 0 3 1 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 -3 -1 -1 -4 -1 -7 -2 -9 -1 -10 -1 -14 -1 -15 -1 -16 1 -19 0 -18 0 -17 -1 -14 0 -12 1 -12 2 -11 2 -8 2 -5 2 -1 1 5 2 8 4 10 3 12 5 14 1 17 1 21 1
10668139,7E:8A:AE:D6:C8:CD,34848,-27.63,-65,-73,0 0 -15 -8 -16 -7 -11 -5 -8 -4 -4 -2 -1 -1 1 -2 4 -3 7 -6 11 -8 14 -9 14 -10 13 -11 12 -12 11 -14 9 -14 10 -15 8 -12 6 -10 4 -7 3 -5 2 -2 1 1 0 4 -1 7 -1 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 3 2 6 0 10 -2 13 -5 16 -7 17 -8 19 -8 20 -9 20 -7 20 -7 18 -6 17 -6 14 -5 10 -4 6 -5 3 -4 -1 -5 -4 -7 -6 -10 -10 -13 -12 -14 -15 -15 -15 -16 -14 -16 -14 -17 -11,0 0 12 -20 10 -18 9 -15 7 -14 4 -12 5 -9 3 -4 1 2 -4 7 -8 9 -10 11 -12 11 -11 14 -14 18 -15 18 -18 16 -17 14 -15 13 -13 12 -12 11 -10 9 -7 6 -5 3 -1 1 3 -1 7 -2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 -5 -1 -1 -2 1 -3 3 -5 4 -5 6 -5 10 -5 11 -5 13 -7 15 -8 15 -7 13 -6 12 -4 11 -3 11 -2 11 -2 8 -2 5 -1 1 2 -3 3 -7 4 -8 5 -10 5 -14 5 -18 7 -21
