timestamp,mac,seq_ctrl,aoa,master_rssi,worker_rssi,IQ_master,IQ_worker
13093482,7E:8A:AE:D6:C8:CD,65024,-33.49,-74,-74,0 0 -11 18 -12 19 -11 18 -10 17 -8 13 -6 12 -4 11 -3 6 -3 3 -2 -2 0 -6 1 -9 0 -12 -1 -15 -2 -18 -2 -21 -1 -23 0 -24 0 -23 1 -21 0 -19 0 -17 1 -15 1 -11 3 -7 4 -3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -5 -2 -4 -1 -2 -2 0 -1 2 -1 5 -2 7 -2 10 -2 12 -2 11 -2 11 -4 13 -5 15 -6 14 -5 11 -4 8 -4 6 -5 4 -5 2 -4 2 -1 -1 2 -5 5 -8 7 -10 9 -10 12 -9 14,0 0 4 -17 5 -19 5 -20 7 -19 7 -17 6 -15 2 -12 1 -12 1 -9 0 -5 -3 -3 -5 0 -8 2 -10 4 -12 6 -14 8 -18 9 -19 9 -21 7 -21 5 -20 3 -17 2 -16 0 -12 -1 -9 -2 -5 -3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -6 -3 -5 -1 -4 0 -3 1 -2 3 -1 4 0 6 1 8 2 10 2 10 2 11 3 10 5 11 6 12 4 13 4 11 4 8 6 5 6 5 6 3 5 2 4 -3 4 -6 4 -9 5 -13 6 -15
13229900,7E:8A:AE:D6:C8:CD,65040,90.00,-80,-88,0 0 -8 11 -9 13 -10 13 -11 11 -10 9 -9 8 -6 8 -4 9 -2 11 -7 14 -6 12 -6 12 -5 10 -1 10 1 10 0 13 0 12 -2 14 -4 11 -2 8 -1 9 0 7 0 9 1 10 1 10 -1 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -18 -2 -15 -2 -18 -2 -17 1 -18 -2 -19 -3 -19 -4 -18 -5 -15 -6 -13 -5 -13 -3 -14 2 -15 3 -14 2 -15 1 -16 1 -13 -1 -11 1 -9 4 -6 7 -11 10 -13 10 -12 8 -13 9 -9 5 -9 8,0 0 5 -4 1 -3 -1 -2 1 0 -7 1 -4 -1 1 -5 4 -3 4 0 4 5 4 6 3 5 6 4 3 0 10 1 8 1 18 1 18 5 18 3 21 5 16 -1 17 -6 19 -2 21 -4 22 -3 25 -8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 8 8 7 3 8 6 7 5 3 10 1 13 -2 14 5 11 3 12 6 8 7 11 2 8 5 3 -7 9 -7 11 -12 12 -10 15 -3 12 -4 9 -1 5 -3 0 -4 2 -10 2 -18 3 -16 4 -12
14889217,7E:8A:AE:D6:C8:CD,65184,-12.35,-81,-78,0 0 -8 -15 -10 -17 -10 -20 -8 -18 -6 -16 -6 -12 -5 -11 -7 -12 -6 -13 -7 -17 -5 -18 -3 -17 -2 -15 -2 -13 -7 -12 -9 -11 -10 -12 -9 -11 -9 -10 -5 -8 -3 -8 -1 -6 -1 -6 1 -5 -1 -5 -1 -5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 -10 4 -8 2 -7 1 -8 -1 -11 2 -11 4 -14 6 -13 7 -12 4 -10 2 -11 2 -13 -2 -15 0 -16 2 -15 2 -14 1 -12 1 -12 -4 -10 -3 -12 -2 -11 -2 -14 -2 -15 0 -15 -1 -15 -5 -14,0 0 3 13 8 14 10 14 12 15 9 16 10 14 8 11 7 8 9 7 8 8 5 8 2 7 1 8 1 9 0 10 1 9 2 13 3 13 3 12 3 15 4 13 2 13 2 11 0 7 2 5 1 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 0 13 2 9 4 4 3 6 2 5 4 8 5 9 9 6 13 5 14 5 16 7 13 9 12 11 9 13 10 15 8 14 8 12 7 9 3 9 2 7 1 7 0 6 3 3 7 2 10 4 12
14957467,7E:8A:AE:D6:C8:CD,65200,-90.00,-77,-83,0 0 -9 -13 -10 -14 -10 -16 -8 -16 -8 -13 -8 -13 -8 -13 -8 -11 -9 -13 -9 -13 -8 -13 -6 -14 -6 -9 -7 -9 -9 -10 -8 -10 -8 -11 -7 -11 -6 -10 -5 -10 -6 -8 -6 -9 -5 -9 -5 -6 -6 -7 -7 -8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -3 -10 -4 -8 -5 -8 -5 -9 -6 -11 -6 -12 -5 -13 -4 -13 -4 -12 -5 -11 -5 -11 -6 -12 -6 -13 -5 -14 -5 -14 -5 -13 -4 -12 -6 -12 -7 -12 -9 -12 -8 -13 -8 -13 -8 -14 -8 -11 -9 -13 -9 -13,0 0 3 10 7 7 7 13 8 13 6 14 2 13 3 9 5 9 9 8 9 8 9 8 11 9 7 5 12 4 10 2 10 3 14 2 14 1 15 1 15 -2 19 1 16 2 13 4 8 0 9 0 9 -3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -23 1 -26 -4 -22 -5 -19 -7 -15 -5 -13 0 -17 2 -21 2 -21 0 -20 1 -18 -1 -13 -1 -12 0 -8 8 -10 5 -11 8 -12 9 -13 5 -9 5 -9 6 -4 6 -2 6 2 7 3 13 2 15 0 16
22968321,7E:8A:AE:D6:C8:CD,5200,-41.85,-81,-74,0 0 0 11 1 15 2 13 3 16 6 15 10 14 10 14 13 13 11 11 8 12 4 8 1 4 2 4 -1 6 -3 11 -4 13 -8 18 -11 17 -9 19 -8 19 -7 19 -5 20 -6 19 -4 16 -4 14 -6 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -12 -5 -9 -5 -8 -4 -7 -5 -7 -6 -6 -8 -7 -8 -6 -11 -4 -10 -2 -9 0 -6 2 -5 2 -2 3 -2 3 -3 5 -3 7 -2 8 -2 9 -1 11 -3 7 -4 6 -2 4 -4 3 -3 3 0 3 3,0 0 -1 15 0 17 2 14 3 13 6 11 6 10 4 9 3 7 1 5 1 4 0 4 -1 4 -1 7 -2 7 -1 6 -1 6 2 6 4 5 4 5 6 5 6 4 6 3 6 2 5 2 4 2 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 11 13 12 12 11 10 10 8 10 7 11 5 12 5 15 3 17 1 18 0 19 1 21 1 23 3 22 4 19 6 20 5 17 5 16 4 13 4 13 2 13 1 11 -1 12 -3 14 -3 14 -3 17
23001056,7E:8A:AE:D6:C8:CD,5216,4.98,-82,-75,0 0 9 6 11 9 12 7 13 6 14 3 16 0 18 -2 17 -5 16 -3 12 -2 9 -1 4 2 5 1 5 2 7 8 10 12 11 17 12 19 12 16 14 15 16 15 15 14 15 13 11 10 12 9 8 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -11 7 -11 6 -9 6 -10 5 -11 5 -13 2 -14 -1 -14 -3 -12 -5 -10 -6 -11 -4 -5 -4 -5 -2 -4 -3 -2 -3 -2 -5 -1 -6 1 -8 2 -8 1 -6 2 -7 -3 -5 -3 -6 -1 -5 0 -5 2 1,0 0 15 -4 16 -5 13 -7 11 -7 11 -9 10 -10 8 -8 7 -6 5 -6 4 -4 3 -4 6 -4 7 -2 8 -1 7 -2 6 -3 6 -5 7 -6 7 -8 7 -8 6 -8 5 -8 4 -7 4 -7 4 -5 2 -6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 -17 5 -17 5 -15 5 -14 6 -12 6 -10 9 -9 10 -9 14 -8 15 -8 16 -7 17 -7 18 -9 17 -10 17 -10 15 -10 13 -10 12 -9 9 -8 10 -8 10 -7 10 -4 11 -3 11 -2 14 -2 15 -2
23673628,7E:8A:AE:D6:C8:CD,5296,-12.92,-80,-76,0 0 -10 0 -10 1 -14 0 -15 1 -17 3 -20 5 -19 7 -21 6 -19 4 -16 6 -12 7 -12 8 -10 6 -11 4 -10 -2 -9 -7 -8 -9 -8 -12 -10 -13 -13 -14 -14 -16 -14 -16 -15 -15 -14 -13 -14 -13 -11 -10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -8 1 -6 -1 -6 0 -4 -1 -1 -2 0 -2 2 -3 3 -2 2 -1 3 -2 0 -2 0 0 -3 1 -3 3 -3 3 -3 5 -4 7 -2 9 -2 8 -2 9 0 9 2 10 1 9 2 10 0 10 -5 8,0 0 8 14 12 13 11 11 14 10 16 6 16 6 13 5 10 4 8 3 6 0 4 0 2 0 -1 2 -3 2 -6 3 -4 4 -5 7 -4 8 -4 9 -4 11 -5 10 -3 9 -2 8 -4 8 -3 6 -3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -13 -12 -12 -10 -12 -12 -10 -11 -8 -10 -5 -9 -3 -11 2 -10 6 -11 10 -11 13 -11 16 -10 17 -11 16 -12 15 -12 14 -12 13 -12 10 -11 7 -9 6 -8 4 -6 4 -2 4 1 4 4 6 7 8 9
23730499,7E:8A:AE:D6:C8:CD,5312,90.00,-82,-74,0 0 -4 10 -3 12 -2 14 0 12 0 10 2 14 2 15 -1 16 0 17 2 15 0 13 5 14 6 12 8 18 8 18 7 18 5 18 6 17 6 16 7 16 8 16 8 16 7 17 4 15 8 16 6 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 -13 2 -12 3 -13 4 -13 6 -12 5 -11 4 -9 4 -9 5 -6 1 -7 5 -4 2 -5 1 -3 -1 -1 1 -5 1 -1 -2 0 -3 0 0 0 -1 2 0 2 0 3 2 6 1 9 0 10 -1 10,0 0 -1 -15 -2 -15 -2 -14 -3 -14 -4 -14 -3 -15 -3 -14 -2 -13 -1 -13 -3 -13 -4 -13 -4 -12 -4 -12 -4 -12 -3 -11 -4 -10 -3 -9 -3 -10 -3 -10 -3 -10 -2 -9 -3 -9 -3 -9 -2 -8 -2 -9 -1 -8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -5 -12 -5 -13 -5 -13 -3 -14 -3 -14 -3 -14 -4 -16 -3 -16 -1 -16 -1 -16 0 -15 -1 -17 -1 -16 -1 -17 0 -15 0 -16 -1 -15 -2 -14 -2 -14 -3 -15 -3 -16 -3 -16 -2 -15 -2 -15 -3 -15 -3 -17
24069327,7E:8A:AE:D6:C8:CD,5328,-17.79,-78,-75,0 0 4 6 3 4 1 5 2 7 2 7 3 13 5 15 4 15 4 13 7 10 12 7 13 6 12 6 11 4 7 5 4 1 -2 0 -1 -1 -1 1 0 4 2 5 3 6 3 7 5 9 5 8 5 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 -7 14 -2 12 -1 12 0 13 2 13 5 14 8 15 10 13 12 11 12 11 8 13 10 12 7 12 6 11 7 9 7 9 8 7 11 8 11 9 12 9 13 11 12 12 13 12 11 13 12 14 12,0 0 19 13 20 13 17 10 16 5 15 2 15 1 10 1 7 2 2 2 -1 3 -1 5 -6 9 -7 10 -5 12 -5 15 -5 14 -3 15 -2 14 -1 14 1 13 2 12 1 6 -3 8 -4 5 -4 4 -5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -16 -9 -13 -10 -12 -10 -8 -9 -8 -8 -4 -6 -2 -6 4 -9 7 -10 11 -10 14 -12 17 -12 16 -14 15 -16 14 -16 13 -15 11 -13 9 -12 7 -9 4 -5 5 -1 5 1 6 4 11 9 12 11 15 12
24487440,7E:8A:AE:D6:C8:CD,5344,8.71,-73,-70,0 0 0 -13 -1 -13 -1 -14 -1 -13 -1 -13 -1 -13 -1 -11 -2 -9 -3 -10 -4 -11 -4 -11 -4 -11 -4 -10 -4 -10 -5 -9 -5 -8 -6 -8 -7 -9 -7 -10 -7 -11 -5 -10 -4 -10 -4 -9 -4 -7 -4 -7 -5 -8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 -17 0 -17 0 -16 1 -17 2 -18 2 -18 3 -18 5 -18 5 -17 5 -16 4 -15 4 -15 4 -16 3 -16 3 -15 3 -16 3 -15 3 -14 3 -14 2 -15 1 -15 1 -15 1 -15 1 -15 2 -15 1 -15,0 0 9 -12 7 -14 6 -13 7 -13 6 -13 6 -13 6 -13 7 -13 6 -13 6 -13 5 -14 5 -14 5 -13 5 -13 5 -13 5 -12 5 -13 5 -12 4 -13 5 -12 5 -12 5 -12 5 -12 5 -11 6 -11 6 -10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 -7 0 -7 1 -8 2 -8 1 -9 1 -9 2 -9 3 -10 4 -10 4 -10 5 -10 5 -10 5 -11 5 -11 5 -11 6 -11 5 -11 5 -12 6 -11 6 -12 7 -12 6 -13 6 -12 6 -12 6 -14 7 -15
