timestamp,mac,seq_ctrl,aoa,IQ_master,IQ_worker
32496778,7E:8A:AE:D6:C8:CD,16048,23.23,0 0 -10 -9 -13 -6 -10 -4 -7 -6 -8 -7 -10 -5 -8 -5 -10 -6 -6 -7 -8 -7 -10 -4 -10 -3 -9 1 -12 -1 -11 0 -12 0 -9 0 -7 0 -5 1 -2 1 -2 1 -1 -2 -4 -3 -6 -7 -3 -4 -5 -6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -17 -2 -19 -4 -18 -2 -18 -5 -15 -5 -16 -8 -13 -9 -11 -9 -12 -9 -15 -8 -15 -8 -15 -13 -15 -12 -18 -13 -14 -10 -16 -9 -15 -8 -14 -6 -15 -9 -16 -10 -14 -9 -12 -9 -11 -7 -12 -8 -13 -8 -17 -8,0 0 6 -13 4 -17 4 -17 4 -16 3 -16 1 -15 0 -14 -1 -11 -1 -9 2 -9 3 -8 5 -8 6 -7 8 -8 9 -7 10 -9 10 -11 10 -12 11 -15 10 -15 9 -14 7 -12 6 -13 5 -11 4 -8 4 -6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -8 -10 -7 -10 -7 -10 -6 -9 -6 -9 -4 -9 -2 -10 -1 -12 0 -12 2 -12 1 -14 1 -14 1 -14 1 -13 -1 -15 -1 -14 -2 -13 -1 -12 -1 -10 -1 -10 -1 -9 0 -9 2 -10 3 -9 6 -10 8 -12
33777750,7E:8A:AE:D6:C8:CD,0,-39.09,0 0 3 -20 3 -19 1 -19 0 -17 -1 -16 -2 -16 -2 -14 -1 -12 1 -11 1 -11 3 -11 2 -11 3 -12 3 -15 3 -15 4 -16 3 -16 3 -15 1 -15 0 -15 -1 -14 1 -13 2 -10 2 -9 3 -7 4 -7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -7 -12 -8 -12 -6 -11 -6 -12 -3 -12 -2 -12 0 -11 1 -12 2 -14 1 -14 3 -17 2 -19 2 -19 0 -18 -1 -18 -2 -17 -3 -17 -3 -15 -2 -15 -1 -13 -1 -13 1 -12 3 -12 2 -13 4 -14 4 -18,0 0 -15 3 -16 3 -16 4 -15 6 -14 6 -13 6 -11 6 -9 4 -8 5 -8 4 -9 3 -10 1 -10 1 -11 0 -12 1 -12 2 -13 4 -12 5 -13 6 -13 7 -11 6 -10 6 -8 5 -7 4 -7 4 -7 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -11 11 -11 11 -11 9 -11 9 -11 7 -11 7 -13 6 -13 5 -15 4 -15 2 -16 2 -16 2 -17 2 -16 4 -15 5 -16 5 -15 6 -13 6 -11 5 -12 5 -11 4 -11 3 -12 2 -13 2 -13 1 -14 1
33833390,7E:8A:AE:D6:C8:CD,0,52.45,0 0 0 17 3 14 3 14 5 14 6 13 6 13 5 11 3 10 3 9 3 11 2 10 3 10 2 11 3 13 3 13 3 14 4 13 4 13 5 11 5 11 4 11 4 10 2 8 1 9 -1 8 -1 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 10 8 10 8 10 7 10 6 10 5 10 3 11 1 12 2 13 1 14 1 16 1 16 1 16 2 15 4 16 5 15 5 14 5 14 4 12 5 12 3 12 4 12 3 12 2 12 1 15 2 17,0 0 -11 -9 -13 -10 -13 -9 -13 -9 -13 -8 -13 -7 -12 -6 -11 -5 -11 -5 -10 -5 -10 -5 -10 -6 -9 -7 -9 -8 -9 -7 -10 -7 -12 -7 -12 -6 -13 -6 -13 -6 -12 -5 -12 -4 -11 -4 -10 -3 -8 -3 -8 -4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -15 -4 -15 -4 -15 -4 -13 -5 -14 -5 -13 -5 -12 -6 -12 -7 -11 -9 -11 -9 -10 -10 -11 -11 -12 -11 -12 -10 -12 -10 -13 -10 -13 -9 -13 -8 -12 -7 -12 -7 -11 -7 -11 -7 -10 -7 -10 -9 -10 -10 -10 -10
33859444,7E:8A:AE:D6:C8:CD,0,-27.36,0 0 10 -12 10 -13 9 -14 7 -14 6 -13 6 -14 4 -12 5 -10 5 -10 6 -9 5 -10 7 -10 6 -10 7 -11 7 -12 7 -12 7 -13 6 -12 5 -12 4 -11 5 -11 5 -11 5 -10 5 -7 5 -5 5 -6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 -13 4 -13 4 -13 4 -12 6 -10 6 -10 7 -10 9 -10 10 -10 11 -9 12 -11 12 -11 12 -11 11 -12 9 -13 10 -13 8 -14 8 -13 7 -12 6 -12 8 -11 7 -11 8 -10 8 -12 9 -11 10 -11,0 0 -9 -11 -11 -13 -11 -12 -11 -11 -11 -10 -12 -10 -11 -7 -10 -7 -9 -6 -9 -6 -8 -7 -8 -8 -7 -8 -8 -9 -8 -8 -9 -8 -10 -9 -11 -9 -12 -8 -12 -8 -12 -7 -11 -7 -10 -6 -9 -5 -8 -5 -7 -6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -13 -6 -14 -6 -14 -7 -13 -7 -12 -7 -11 -7 -10 -7 -10 -10 -10 -10 -8 -11 -9 -12 -9 -12 -9 -13 -10 -12 -10 -13 -11 -12 -12 -11 -11 -11 -10 -9 -11 -9 -10 -9 -9 -9 -9 -9 -8 -10 -8 -10 -7 -11
33900477,7E:8A:AE:D6:C8:CD,0,-52.98,0 0 -13 -8 -15 -9 -14 -9 -14 -7 -14 -6 -14 -5 -13 -5 -12 -4 -11 -4 -10 -5 -10 -5 -10 -5 -11 -5 -13 -6 -13 -6 -13 -7 -13 -6 -13 -5 -13 -4 -13 -4 -12 -4 -10 -4 -10 -5 -9 -5 -7 -5 -7 -6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -14 -3 -14 -3 -13 -3 -13 -4 -12 -5 -11 -5 -11 -6 -11 -8 -11 -10 -11 -10 -12 -11 -12 -12 -13 -11 -13 -10 -14 -9 -15 -8 -14 -7 -14 -7 -13 -5 -12 -6 -12 -6 -11 -7 -11 -8 -11 -7 -12 -9 -13 -10,0 0 3 13 4 14 4 14 4 14 5 13 6 12 5 10 5 9 5 9 5 8 4 9 3 9 3 9 2 10 2 10 3 10 4 11 6 12 6 12 7 11 6 10 6 9 5 8 5 7 4 7 3 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 10 9 11 8 11 8 10 8 10 7 10 5 11 4 12 4 12 2 12 2 13 2 14 2 15 3 14 3 14 4 14 5 14 4 13 5 12 5 12 5 11 4 11 3 10 3 11 2 12 1 13
33945572,7E:8A:AE:D6:C8:CD,0,41.56,0 0 7 15 8 13 9 13 9 12 10 10 9 10 9 8 7 9 6 8 7 8 5 9 6 8 6 9 7 10 7 11 7 11 7 10 9 10 8 9 8 9 7 8 6 9 5 7 5 6 3 8 2 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 4 12 5 10 5 11 6 9 6 9 7 8 9 7 10 7 11 7 11 7 13 8 14 8 14 9 13 9 12 10 11 10 11 10 10 9 9 8 9 8 8 7 10 6 8 7 10 8 12 9 14,0 0 -13 2 -16 3 -15 3 -16 4 -14 4 -14 4 -13 4 -11 4 -10 4 -10 4 -10 3 -11 2 -11 2 -12 1 -12 1 -11 2 -13 4 -12 5 -13 5 -13 6 -11 5 -10 6 -10 6 -9 5 -9 4 -9 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -13 8 -13 7 -13 8 -12 6 -13 6 -12 5 -12 5 -13 3 -14 2 -15 1 -15 0 -16 0 -16 1 -15 0 -15 2 -17 3 -15 3 -15 4 -13 3 -13 3 -12 3 -13 2 -12 2 -12 1 -13 0 -13 1
33979959,7E:8A:AE:D6:C8:CD,0,-38.51,0 0 -14 -7 -16 -7 -14 -6 -15 -6 -14 -3 -14 -2 -13 -2 -12 -3 -11 -3 -9 -3 -11 -5 -11 -4 -12 -5 -12 -5 -13 -4 -13 -4 -14 -4 -12 -4 -14 -3 -12 -2 -12 -3 -9 -3 -8 -4 -7 -4 -7 -4 -7 -5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -13 -1 -13 1 -13 -1 -12 -2 -12 -3 -12 -4 -12 -4 -11 -5 -12 -8 -11 -8 -11 -8 -15 -9 -15 -9 -14 -7 -14 -7 -14 -6 -15 -5 -16 -4 -13 -4 -13 -4 -13 -5 -11 -5 -11 -4 -11 -7 -13 -7 -14 -8,0 0 -2 13 -3 15 -2 15 0 14 0 14 0 14 1 12 1 10 1 10 0 10 0 9 -1 10 -2 9 -2 11 -2 10 -1 11 -1 12 1 13 1 13 1 12 2 13 2 10 1 10 2 9 0 8 -1 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 13 4 13 4 13 4 14 3 12 2 12 1 13 -1 12 -2 13 -2 12 -3 12 -3 14 -3 14 -2 14 -2 15 -2 16 -1 15 -1 14 0 13 0 12 -1 12 -1 12 -1 11 -1 11 -2 12 -3 13
34024562,7E:8A:AE:D6:C8:CD,0,10.96,0 0 12 9 15 6 13 5 14 5 13 4 13 3 11 3 11 3 10 3 10 3 10 4 10 3 10 4 12 5 12 5 12 5 12 4 12 4 12 3 11 3 10 3 9 2 8 4 7 4 6 4 6 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 -2 12 -2 12 -2 12 0 12 0 10 1 11 3 12 5 12 5 13 6 13 7 14 8 15 8 14 7 15 6 15 4 15 3 14 3 12 3 12 2 11 3 11 3 10 6 11 6 12 7 15 7,0 0 7 12 8 13 8 13 10 11 10 10 10 10 7 8 9 7 7 7 7 6 7 7 7 7 6 8 6 9 5 9 7 9 7 9 9 9 10 10 9 9 10 8 8 7 9 6 8 5 7 5 6 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 7 12 7 11 8 11 8 10 7 9 8 9 8 7 10 7 11 5 12 5 12 5 13 6 14 7 13 7 14 8 13 9 12 9 11 9 11 8 10 9 9 7 9 7 9 6 9 6 11 5 11
34060106,7E:8A:AE:D6:C8:CD,0,-18.23,0 0 2 -10 -1 -13 0 -13 -2 -15 -2 -15 -2 -13 -2 -16 -2 -13 -4 -12 -4 -11 -2 -11 -4 -8 -1 -8 -5 -11 0 -9 -2 -9 1 -10 1 -11 -2 -9 -5 -10 -1 -11 0 -12 0 -10 -1 -10 0 -10 -1 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -8 -10 -9 -12 -8 -13 -8 -14 -9 -12 -8 -13 -9 -11 -7 -9 -5 -12 -4 -13 -2 -14 1 -15 1 -15 -1 -14 0 -14 0 -17 -1 -14 -2 -15 -2 -16 -6 -15 -6 -14 -5 -12 -5 -12 -5 -11 -3 -12 -1 -13,0 0 -12 -8 -14 -8 -14 -7 -15 -7 -14 -6 -14 -5 -12 -4 -11 -3 -11 -4 -10 -3 -11 -4 -10 -4 -10 -4 -10 -6 -10 -6 -11 -6 -12 -5 -12 -5 -14 -3 -14 -4 -12 -4 -12 -3 -11 -2 -10 -1 -8 -2 -8 -4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -15 -1 -15 -1 -15 -2 -14 -2 -13 -3 -13 -3 -13 -4 -12 -5 -12 -6 -12 -7 -12 -7 -11 -8 -13 -9 -14 -8 -14 -7 -15 -8 -15 -6 -14 -6 -13 -5 -13 -6 -12 -5 -12 -5 -11 -6 -12 -6 -11 -7 -11 -9
34103612,7E:8A:AE:D6:C8:CD,0,4.50,0 0 0 17 3 17 3 16 4 15 6 15 6 14 5 11 5 11 3 10 2 9 1 9 2 10 1 11 1 13 1 14 0 14 0 13 3 13 3 13 3 13 4 12 3 11 2 9 0 9 0 8 -2 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 7 11 8 10 8 8 8 7 7 6 8 4 8 4 11 3 12 3 13 2 15 2 16 3 17 4 16 6 16 7 16 8 14 7 14 7 11 7 12 6 11 4 10 3 10 3 13 2 15 2 15,0 0 -1 12 0 13 -1 14 2 14 1 14 1 14 2 13 3 11 3 12 3 13 3 12 3 11 2 10 2 9 1 10 1 10 3 12 2 14 2 13 2 14 2 13 2 11 3 11 2 10 2 10 1 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 15 6 15 5 15 5 14 5 15 4 13 4 15 3 14 1 14 0 13 -2 13 -3 13 -3 13 -3 13 -2 14 -1 15 -2 15 0 16 0 15 3 14 3 14 3 13 3 12 1 11 0 11 0 11
