timestamp,mac,seq_ctrl,aoa,IQ_master,IQ_worker
12287592,7E:8A:AE:D6:C8:CD,25072,27.36,0 0 -17 -9 -13 -8 -11 -7 -9 -7 -7 -7 -5 -9 -3 -10 -3 -12 -3 -14 -5 -15 -5 -17 -7 -17 -8 -16 -10 -16 -10 -14 -10 -13 -10 -11 -9 -10 -7 -10 -5 -9 -3 -9 -1 -9 1 -9 2 -10 3 -11 4 -12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -9 2 -10 0 -11 -2 -12 -4 -13 -5 -15 -6 -16 -6 -18 -6 -19 -6 -17 -4 -17 -4 -16 -3 -15 -3 -13 -2 -11 -3 -10 -5 -9 -6 -8 -8 -8 -9 -9 -12 -10 -13 -12 -14 -13 -14 -14 -13 -16 -13 -17 -11,0 0 7 -15 4 -12 4 -8 5 -6 5 -3 8 -1 10 1 12 2 15 2 17 1 18 0 18 -2 18 -4 18 -5 15 -6 13 -6 12 -5 9 -4 7 -1 5 1 5 3 4 6 3 8 3 10 3 12 4 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -8 -5 -7 -8 -7 -11 -7 -13 -7 -16 -8 -17 -9 -18 -9 -19 -9 -19 -9 -17 -9 -16 -8 -14 -7 -12 -5 -10 -2 -9 1 -8 4 -8 6 -10 8 -10 10 -13 11 -15 11 -17 11 -18 10 -19 9 -21 7 -20
12999476,7E:8A:AE:D6:C8:CD,0,45.25,0 0 -6 -19 -6 -15 -4 -13 -3 -11 -1 -9 2 -9 4 -8 6 -9 8 -10 9 -12 10 -14 10 -16 8 -17 7 -18 5 -18 3 -17 3 -16 2 -14 2 -12 2 -9 3 -7 5 -5 7 -4 9 -2 10 -1 12 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -9 -2 -8 -4 -9 -7 -9 -9 -9 -11 -9 -13 -11 -14 -12 -15 -13 -15 -13 -14 -13 -14 -13 -12 -12 -11 -10 -9 -8 -8 -6 -9 -4 -9 -2 -10 0 -11 0 -14 1 -17 1 -18 0 -20 -1 -21 -4 -22 -5 -21,0 0 15 4 13 3 11 3 9 3 6 4 4 6 3 7 2 9 2 11 4 13 5 14 6 15 7 14 9 14 10 12 10 11 10 10 8 8 6 7 4 6 2 6 0 5 -3 6 -4 7 -5 8 -6 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 -7 7 -5 9 -4 10 -3 13 -2 14 -2 16 -2 17 -2 18 -3 17 -4 16 -4 15 -5 13 -4 11 -4 10 -3 9 -1 8 1 7 3 8 5 10 7 11 9 13 9 14 10 16 9 18 8 18 6
13051859,7E:8A:AE:D6:C8:CD,25200,39.75,0 0 -13 -9 -11 -10 -11 -9 -11 -9 -11 -8 -12 -9 -11 -8 -11 -8 -11 -8 -12 -8 -12 -8 -11 -7 -11 -7 -11 -7 -12 -6 -11 -6 -12 -7 -11 -6 -11 -7 -11 -7 -11 -7 -10 -7 -10 -7 -9 -7 -9 -7 -8 -7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -11 -6 -11 -6 -12 -7 -11 -7 -11 -8 -11 -8 -11 -9 -11 -10 -11 -10 -11 -10 -10 -10 -11 -10 -11 -10 -10 -10 -10 -9 -11 -10 -10 -9 -11 -10 -10 -9 -11 -9 -12 -10 -11 -9 -12 -9 -12 -9 -12 -9 -12 -8,0 0 14 -7 11 -7 12 -7 12 -7 11 -7 12 -7 10 -7 11 -6 10 -7 11 -8 10 -8 10 -7 9 -7 9 -8 9 -8 9 -8 9 -7 10 -7 9 -7 10 -7 9 -6 9 -6 9 -5 8 -5 8 -5 8 -5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 -8 10 -8 10 -8 11 -8 11 -7 11 -7 12 -7 13 -6 12 -6 12 -6 13 -6 13 -6 13 -6 12 -6 12 -6 12 -6 12 -6 12 -6 11 -6 12 -7 12 -7 12 -7 12 -7 12 -7 13 -8 13 -8
13361008,7E:8A:AE:D6:C8:CD,25248,-33.38,0 0 1 18 1 14 0 10 -1 8 -3 6 -6 4 -8 3 -11 2 -14 3 -16 5 -18 6 -18 7 -18 9 -17 10 -15 11 -13 11 -12 11 -10 8 -9 6 -7 4 -7 0 -6 -3 -7 -6 -7 -8 -8 -9 -8 -11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 -1 8 2 9 5 10 7 11 9 12 10 14 12 15 13 15 12 14 11 14 10 13 9 11 8 9 6 6 5 4 6 1 7 -2 8 -3 10 -4 13 -5 16 -4 18 -4 19 -3 20 -2 22 1 20,0 0 19 -2 15 -4 12 -3 9 -2 6 0 3 3 1 5 0 8 -1 11 0 14 0 17 1 18 2 18 5 19 5 17 6 17 7 14 6 12 5 10 3 7 1 5 -2 3 -5 1 -7 0 -9 -1 -12 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -7 -5 -5 -7 -2 -9 0 -12 2 -14 3 -17 4 -19 4 -21 5 -22 4 -20 3 -20 3 -19 2 -17 2 -14 2 -11 3 -8 4 -5 6 -2 9 0 12 1 16 2 18 2 19 2 21 2 23 0 23 -2
13416390,7E:8A:AE:D6:C8:CD,0,-90.00,0 0 -14 -9 -12 -9 -12 -9 -12 -8 -12 -8 -12 -8 -11 -8 -12 -8 -11 -8 -12 -7 -12 -6 -12 -6 -12 -6 -12 -6 -12 -6 -12 -6 -12 -6 -12 -6 -12 -6 -12 -7 -11 -7 -11 -7 -10 -7 -10 -6 -10 -6 -9 -7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -11 -6 -11 -6 -11 -7 -11 -7 -11 -8 -11 -8 -11 -9 -11 -10 -11 -10 -10 -9 -11 -9 -11 -10 -11 -10 -10 -9 -10 -9 -11 -10 -11 -9 -11 -9 -11 -9 -11 -9 -12 -9 -12 -9 -12 -8 -12 -9 -13 -8 -13 -8,0 0 10 10 11 9 9 8 10 9 9 8 10 8 9 7 9 7 9 7 10 7 10 7 10 6 9 6 9 6 10 6 9 5 10 6 9 5 9 5 9 5 9 5 8 5 8 6 8 6 7 5 7 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 7 10 7 11 8 9 8 11 9 9 9 10 10 9 10 9 10 9 11 8 11 8 11 8 11 8 10 8 9 9 11 9 9 9 10 9 9 10 10 10 10 10 10 10 10 10 10 11 10 10 9
13467541,7E:8A:AE:D6:C8:CD,0,-45.80,0 0 18 3 14 2 11 2 8 2 4 4 2 6 -1 8 -2 11 -2 13 -1 16 0 18 1 19 2 19 4 19 5 18 6 16 6 14 5 12 3 10 1 7 -2 6 -4 4 -7 3 -10 2 -12 3 -14 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -8 3 -8 6 -8 9 -9 11 -10 13 -10 15 -12 16 -13 16 -13 14 -13 13 -12 12 -12 10 -10 8 -8 7 -5 7 -3 7 0 8 3 9 5 11 7 14 9 16 9 17 9 19 8 20 7 20 5,0 0 -6 -20 -7 -16 -6 -13 -5 -10 -2 -7 1 -6 4 -3 8 -2 11 -2 14 -3 17 -4 18 -5 18 -6 19 -8 17 -9 15 -10 14 -10 12 -9 9 -7 7 -5 5 -2 3 0 2 3 0 6 0 8 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -2 7 -4 6 -8 4 -11 3 -14 3 -17 1 -19 1 -21 1 -22 2 -21 2 -20 2 -19 2 -18 3 -14 2 -12 1 -9 -1 -6 -3 -4 -6 -3 -9 -2 -13 -2 -16 -3 -19 -3 -21 -4 -23 -6 -24 -8 -24
15618129,7E:8A:AE:D6:C8:CD,24912,70.59,0 0 15 -11 11 -9 9 -6 6 -3 5 0 5 4 4 7 5 10 7 13 9 14 10 16 12 16 13 15 14 14 14 11 13 10 12 8 9 7 6 6 3 5 0 4 -4 5 -7 4 -9 5 -11 6 -13 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -6 -4 -5 -6 -5 -9 -5 -12 -4 -15 -5 -17 -5 -19 -6 -20 -6 -20 -6 -18 -6 -17 -5 -15 -5 -13 -3 -11 -1 -8 2 -6 4 -5 8 -4 11 -4 14 -5 17 -6 18 -8 19 -9 19 -10 19 -12 17 -13,0 0 -12 14 -9 13 -7 10 -6 7 -5 3 -6 0 -6 -4 -8 -6 -10 -8 -13 -9 -15 -9 -17 -9 -17 -8 -19 -7 -18 -5 -17 -3 -16 -3 -14 -2 -11 -3 -8 -3 -5 -4 -2 -5 0 -6 2 -8 3 -10 4 -12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 1 7 4 6 7 5 10 5 13 6 16 6 17 7 19 7 19 7 18 7 17 7 15 6 13 5 11 4 9 0 7 -3 6 -5 5 -8 5 -11 7 -14 8 -15 10 -16 12 -16 13 -16 15 -15 16
15687731,7E:8A:AE:D6:C8:CD,25456,36.74,0 0 -14 10 -10 8 -9 5 -6 2 -6 -2 -6 -6 -6 -9 -7 -11 -9 -14 -11 -15 -13 -16 -14 -16 -15 -14 -16 -14 -15 -11 -14 -10 -12 -8 -10 -7 -7 -7 -3 -6 0 -6 3 -6 6 -7 8 -7 10 -8 11 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 3 4 6 4 9 4 12 4 14 4 16 5 17 6 18 6 18 6 16 5 15 5 13 4 11 2 8 0 6 -3 5 -6 4 -9 4 -12 4 -15 5 -17 6 -18 8 -19 9 -19 11 -19 12 -17 13,0 0 -6 -18 -7 -14 -5 -11 -3 -9 -1 -7 3 -6 6 -4 9 -5 13 -5 15 -8 16 -9 17 -11 16 -12 16 -13 13 -14 12 -13 11 -13 9 -11 8 -7 7 -5 5 -1 4 2 5 4 5 7 5 9 6 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -6 5 -9 3 -11 2 -14 0 -17 -2 -19 -3 -20 -3 -22 -3 -23 -3 -22 -2 -20 -2 -19 -1 -16 -1 -13 -1 -10 -2 -7 -4 -5 -6 -3 -9 -1 -11 -2 -15 -2 -18 -3 -21 -4 -21 -5 -23 -7 -24 -9 -23
15805846,7E:8A:AE:D6:C8:CD,25472,-35.88,0 0 0 -19 0 -14 1 -11 1 -8 3 -5 6 -3 9 -1 11 -1 15 0 17 -2 18 -3 19 -4 19 -5 19 -7 17 -8 15 -8 13 -8 11 -6 9 -4 7 -1 5 2 4 4 4 7 3 10 3 12 3 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -8 0 -8 -3 -10 -6 -11 -8 -13 -10 -14 -11 -15 -12 -16 -12 -17 -12 -16 -11 -15 -10 -13 -9 -12 -8 -9 -7 -6 -6 -3 -7 0 -8 2 -9 4 -11 5 -14 6 -17 6 -19 5 -20 4 -21 2 -22 0 -21,0 0 -18 2 -15 4 -12 2 -10 1 -7 -2 -6 -4 -5 -7 -4 -10 -5 -12 -8 -14 -9 -15 -10 -16 -11 -15 -13 -15 -14 -13 -13 -11 -13 -10 -11 -8 -9 -7 -6 -6 -3 -6 0 -6 2 -6 5 -7 6 -8 8 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 8 -1 8 -4 10 -6 10 -9 12 -10 13 -11 15 -12 16 -12 17 -11 16 -10 16 -9 15 -8 13 -6 10 -6 8 -7 5 -7 3 -9 0 -11 -1 -14 -2 -16 -3 -19 -3 -20 -2 -21 -2 -23 0 -23 2
15837130,7E:8A:AE:D6:C8:CD,25472,-33.60,0 0 -3 17 -2 13 -3 10 -3 6 -5 3 -7 1 -10 -1 -12 -2 -15 -2 -18 -2 -20 -1 -20 1 -20 2 -21 4 -18 5 -16 5 -14 5 -12 4 -10 2 -8 -1 -6 -3 -4 -6 -3 -9 -3 -11 -2 -13 -2 -15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 7 3 8 5 9 8 10 10 12 12 13 12 14 13 14 13 13 11 12 10 11 9 10 8 7 6 4 6 1 6 -2 6 -4 8 -6 9 -8 13 -9 15 -9 17 -8 18 -7 20 -6 21 -4 20,0 0 18 2 14 0 12 0 9 1 6 3 4 5 2 7 1 10 0 12 2 14 3 16 4 17 5 17 7 17 9 15 9 14 8 12 7 10 6 8 3 7 1 6 -3 5 -5 4 -7 4 -9 5 -11 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 -9 2 -9 5 -9 8 -10 11 -10 13 -11 14 -12 15 -13 15 -14 14 -13 14 -14 12 -13 11 -12 9 -10 8 -7 7 -5 7 -2 8 1 9 3 12 5 14 7 16 7 18 7 19 6 21 5 22 3
