timestamp,mac,seq_ctrl,aoa,IQ_master,IQ_worker
16778213,7E:8A:AE:D6:C8:CD,60160,35.02,0 0 -7 16 -7 19 -5 19 -4 18 -2 17 -1 16 -1 13 0 11 -1 9 -3 6 -4 5 -6 3 -9 2 -11 3 -13 3 -15 4 -16 5 -16 7 -16 7 -16 8 -14 8 -12 8 -10 7 -8 5 -7 3 -6 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 -5 12 -4 11 -4 10 -2 8 0 7 2 6 4 6 7 6 10 5 11 6 13 7 14 9 15 10 14 10 14 11 13 11 11 10 10 8 8 7 7 4 7 1 7 -1 8 -3 9 -6 11 -8 13,0 0 -13 -9 -16 -11 -17 -10 -17 -9 -17 -8 -18 -6 -16 -5 -14 -3 -13 -3 -10 -3 -8 -3 -5 -4 -3 -6 -2 -8 -1 -10 -1 -12 -1 -15 -2 -16 -2 -18 -3 -18 -4 -17 -4 -16 -5 -14 -4 -12 -3 -11 -3 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 14 4 13 3 12 2 11 1 10 -1 9 -3 7 -5 6 -8 5 -10 4 -12 4 -14 4 -16 5 -16 6 -16 7 -16 9 -15 9 -13 9 -11 8 -10 8 -9 6 -8 4 -7 1 -8 -2 -9 -5 -10 -7
16984953,7E:8A:AE:D6:C8:CD,0,34.11,0 0 16 9 16 7 17 7 17 5 16 4 15 3 12 2 10 1 7 2 5 2 2 4 0 5 -2 7 -4 9 -4 11 -4 13 -4 15 -4 16 -3 16 -2 16 -2 15 -1 13 -1 11 -1 8 -1 7 -2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -12 -7 -11 -7 -10 -6 -8 -6 -5 -6 -3 -7 0 -7 3 -8 6 -9 7 -9 9 -11 10 -12 11 -14 10 -14 9 -14 8 -15 7 -14 6 -12 5 -10 4 -8 4 -5 5 -3 6 1 8 3 10 5 13 6,0 0 -9 11 -11 14 -10 16 -10 16 -9 16 -8 17 -6 15 -4 14 -3 12 -3 9 -3 7 -4 4 -5 1 -7 -1 -9 -2 -11 -3 -14 -4 -16 -4 -17 -4 -18 -4 -18 -3 -17 -2 -16 -1 -14 -1 -12 -1 -9 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 -11 10 -11 9 -10 9 -9 8 -7 7 -4 6 -2 6 1 6 4 6 6 6 9 7 11 9 13 10 13 11 13 12 13 12 11 12 10 11 8 10 7 8 6 5 5 2 5 -1 6 -4 7 -6 8
17041134,7E:8A:AE:D6:C8:CD,1072,-51.02,0 0 5 18 7 19 8 18 9 18 9 15 10 14 8 11 7 9 5 7 2 6 -2 4 -5 3 -8 3 -10 4 -13 5 -14 6 -17 8 -16 9 -16 10 -16 11 -14 10 -12 9 -11 8 -8 6 -7 4 -5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -8 -14 -7 -12 -6 -11 -4 -10 -1 -8 1 -7 4 -5 7 -4 10 -3 12 -3 15 -2 17 -3 18 -4 18 -5 17 -6 17 -7 14 -7 13 -7 10 -6 9 -4 7 -2 5 1 3 5 3 8 3 12 4 15,0 0 7 -13 7 -14 7 -15 6 -17 5 -17 5 -17 3 -15 2 -14 1 -12 1 -10 1 -7 2 -5 3 -2 5 0 7 1 9 3 11 4 13 4 14 4 15 4 15 4 14 3 13 3 12 1 10 1 8 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -4 12 -4 12 -4 11 -4 10 -4 8 -4 6 -5 3 -5 1 -6 -2 -7 -4 -9 -6 -10 -8 -12 -9 -13 -9 -14 -9 -15 -8 -15 -7 -14 -6 -13 -5 -12 -5 -10 -4 -7 -4 -4 -4 -1 -5 1 -7 3 -9
17092323,7E:8A:AE:D6:C8:CD,60320,-7.52,0 0 16 -11 16 -13 16 -13 15 -14 13 -13 11 -14 9 -12 7 -10 5 -7 4 -4 3 0 3 3 3 6 4 9 6 11 7 13 9 15 10 15 11 15 11 15 10 13 9 11 8 9 6 7 4 5 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -7 13 -6 11 -6 10 -6 7 -6 4 -6 1 -6 -2 -7 -6 -8 -9 -8 -11 -9 -13 -11 -14 -12 -15 -12 -15 -13 -14 -13 -13 -13 -11 -12 -10 -9 -8 -7 -7 -4 -6 -1 -6 3 -5 6 -6 11 -7 13 -9,0 0 8 -12 8 -13 9 -14 8 -16 7 -16 7 -17 5 -15 4 -14 3 -12 2 -10 2 -7 2 -4 3 -2 5 1 6 3 8 5 10 6 12 7 13 8 14 8 14 7 13 7 12 6 11 5 9 4 7 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -3 12 -3 12 -3 11 -3 10 -3 8 -3 6 -4 4 -5 1 -6 -1 -7 -3 -9 -6 -10 -7 -12 -9 -13 -9 -14 -9 -15 -8 -15 -8 -14 -7 -13 -5 -12 -5 -10 -4 -7 -4 -4 -4 -1 -5 1 -7 4 -8
22899886,7E:8A:AE:D6:C8:CD,1904,90.00,0 0 15 7 17 6 16 5 13 4 12 3 10 3 7 3 5 5 4 7 4 9 5 10 5 12 6 13 9 14 9 13 11 13 11 11 12 10 11 9 10 8 9 6 6 6 4 5 2 5 0 6 -2 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 -7 8 -6 8 -4 9 -2 10 0 12 2 13 3 15 4 16 4 16 3 17 2 17 1 17 0 15 -1 14 -1 12 -1 11 -1 9 1 8 2 8 5 9 7 9 9 10 9 12 10 15 11 16 12,0 0 -21 2 -21 5 -18 5 -17 6 -14 5 -12 4 -9 2 -7 0 -5 -2 -4 -5 -4 -8 -4 -11 -4 -13 -5 -14 -8 -15 -8 -15 -10 -17 -10 -15 -10 -15 -10 -13 -9 -11 -7 -9 -5 -7 -3 -5 0 -4 3 -3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 8 1 7 2 4 4 2 6 0 8 -2 10 -3 13 -4 15 -4 16 -4 17 -4 18 -3 18 -2 17 -1 15 0 14 -1 11 -1 9 -2 6 -4 5 -6 2 -10 1 -13 0 -15 0 -18 1 -20 2
22951877,7E:8A:AE:D6:C8:CD,0,15.81,0 0 -18 5 -17 8 -15 7 -13 7 -11 6 -10 5 -9 2 -8 0 -9 -2 -10 -4 -11 -5 -13 -5 -15 -5 -17 -4 -17 -3 -17 -2 -17 -1 -16 0 -15 1 -14 1 -12 1 -9 0 -8 -2 -6 -3 -5 -5 -5 -7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 10 -2 9 -4 8 -5 8 -7 7 -10 7 -11 8 -13 8 -14 9 -14 10 -14 11 -13 12 -13 12 -11 11 -9 11 -8 10 -7 8 -8 6 -8 4 -10 3 -12 1 -14 1 -15 1 -16 1 -18 3 -19 4,0 0 -17 -13 -18 -11 -17 -10 -16 -8 -14 -6 -12 -6 -9 -4 -6 -4 -3 -5 -1 -7 2 -8 4 -10 5 -12 5 -15 4 -16 3 -17 3 -19 2 -19 1 -18 0 -16 0 -14 0 -11 0 -9 1 -6 2 -4 4 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 9 4 8 2 7 -1 6 -4 6 -7 5 -10 6 -13 6 -15 7 -15 7 -17 8 -17 9 -17 10 -14 10 -13 9 -12 9 -9 7 -8 5 -7 3 -7 0 -7 -3 -8 -6 -9 -9 -11 -11 -13 -13 -16 -13
23103970,7E:8A:AE:D6:C8:CD,0,31.41,0 0 -8 -21 -8 -19 -8 -16 -8 -14 -7 -11 -6 -11 -3 -8 -1 -8 2 -9 3 -10 4 -11 6 -13 6 -15 5 -17 3 -17 2 -18 1 -18 0 -17 -2 -16 -2 -14 -2 -12 -1 -10 1 -8 2 -6 4 -5 6 -4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -12 0 -11 -2 -10 -3 -9 -6 -8 -8 -8 -10 -9 -12 -10 -14 -11 -15 -11 -15 -12 -15 -12 -15 -13 -14 -13 -11 -12 -10 -11 -9 -10 -8 -7 -8 -5 -8 -4 -10 -2 -12 -1 -14 -1 -15 -2 -18 -3 -19 -5 -20,0 0 20 -2 20 -4 18 -5 17 -6 13 -6 12 -5 8 -4 6 -2 4 1 3 4 2 7 2 9 2 12 3 14 5 15 6 15 8 16 8 15 8 14 8 13 7 11 6 9 4 7 2 5 -1 3 -3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -12 -1 -10 -2 -8 -3 -6 -5 -3 -7 -1 -9 1 -11 2 -14 3 -16 3 -17 4 -18 3 -19 2 -19 1 -18 0 -17 0 -15 -1 -13 0 -10 1 -7 3 -5 5 -3 8 -2 11 0 14 0 17 0 19 -2
23137972,7E:8A:AE:D6:C8:CD,0,-2.72,0 0 11 18 9 16 10 14 9 11 7 9 6 9 3 7 0 7 -2 8 -3 10 -5 11 -5 13 -5 15 -4 17 -3 17 -1 17 0 17 1 17 2 15 2 14 1 11 0 8 -2 7 -3 5 -5 4 -7 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 -4 9 -3 9 0 9 2 9 4 10 7 11 8 12 10 14 11 14 10 15 10 15 10 15 9 14 7 13 5 11 5 10 5 7 5 5 6 4 9 3 11 3 12 3 15 5 17 6 18 8 18,0 0 -11 -19 -13 -17 -12 -16 -12 -14 -11 -11 -9 -10 -6 -7 -4 -6 -1 -5 2 -5 6 -6 8 -7 10 -8 12 -10 12 -12 12 -13 12 -15 11 -15 10 -14 9 -14 7 -12 6 -9 4 -7 3 -4 3 -2 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 10 3 9 0 7 -2 6 -6 5 -8 4 -11 3 -14 3 -16 3 -17 3 -19 4 -19 4 -19 5 -17 6 -16 6 -14 6 -11 5 -9 3 -7 1 -6 -2 -5 -5 -5 -8 -5 -11 -6 -14 -8 -17 -10 -18
23174130,7E:8A:AE:D6:C8:CD,1952,90.00,0 0 16 3 19 2 17 0 14 0 12 0 10 0 7 1 6 3 5 6 5 8 5 10 6 11 8 12 10 13 11 12 12 12 13 10 13 9 12 7 11 6 10 5 7 5 4 5 2 4 0 5 -2 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 -10 5 -9 6 -7 8 -5 9 -4 11 -3 13 -2 15 -2 17 -2 16 -3 18 -4 17 -4 16 -5 14 -6 13 -6 11 -5 10 -4 9 -2 8 -1 8 2 10 4 11 6 12 7 14 7 16 8 18 8,0 0 -20 10 -18 10 -17 10 -14 11 -12 9 -10 8 -7 5 -6 3 -5 0 -5 -4 -5 -7 -6 -10 -7 -12 -9 -14 -10 -14 -12 -14 -13 -15 -14 -14 -14 -12 -13 -11 -11 -9 -9 -7 -7 -6 -4 -4 -1 -4 2 -3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 -5 8 -4 7 -1 6 1 5 4 3 7 3 10 3 13 3 15 3 16 3 18 4 18 5 18 5 16 6 15 5 13 4 11 3 8 1 6 -2 5 -5 4 -8 4 -12 4 -14 4 -17 6 -18 8
23211024,7E:8A:AE:D6:C8:CD,1952,31.19,0 0 -16 -8 -18 -6 -16 -5 -15 -4 -12 -3 -10 -3 -8 -4 -6 -5 -5 -7 -4 -9 -4 -11 -5 -13 -6 -14 -8 -15 -9 -15 -10 -14 -11 -13 -11 -12 -11 -11 -11 -9 -9 -8 -7 -7 -5 -6 -2 -6 0 -6 2 -7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -6 8 -7 6 -8 5 -9 3 -10 1 -11 0 -14 -1 -16 -2 -17 -2 -18 -2 -18 -1 -18 0 -17 1 -16 2 -14 2 -13 2 -11 2 -10 0 -9 -2 -9 -5 -9 -6 -10 -9 -11 -9 -12 -11 -15 -11 -17 -11,0 0 13 -18 11 -18 9 -17 7 -17 5 -15 4 -13 3 -9 3 -6 4 -3 5 0 7 3 8 5 10 6 13 7 14 7 16 6 17 6 17 5 16 4 15 3 13 2 10 2 8 1 5 1 2 2 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -8 8 -8 6 -8 4 -7 1 -7 -2 -7 -5 -7 -9 -9 -11 -9 -14 -10 -14 -11 -16 -12 -16 -13 -15 -13 -13 -12 -12 -11 -11 -10 -9 -8 -8 -5 -6 -2 -6 1 -7 5 -7 7 -9 9 -11 12 -13 12 -15
